Id,Name,xTexSide,yTexSide,xTexTop,yTexTop,xTexBottom,yTexBottom,Opaque,Solid,Breakable,LightLevel,Ground
0,Air,0,0,0,0,0,0,0,0,0,0,0
1,Stone,0,0,0,0,0,0,1,1,1,0,1
2,Dirt,1,0,1,0,1,0,1,1,1,0,1
3,Grass,2,0,3,0,1,0,1,1,1,0,1
4,Oak_Planks,4,0,4,0,4,0,1,1,1,0,0
5,Oak_Log,5,0,6,0,6,0,1,1,1,0,0
6,Oak_Leaves,7,0,7,0,7,0,0,1,1,0,0
7,Bedrock,8,0,8,0,8,0,1,1,0,0,0
8,Glowstone,9,0,9,0,9,0,1,1,1,15,0
9,Water,10,0,10,0,10,0,0,0,1,0,0
10,Sand,11,0,11,0,11,0,1,1,1,0,1
11,Iron_Ore,12,0,12,0,12,0,1,1,1,0,1
12,Iron_Block,13,0,13,0,13,0,1,1,1,0,0
13,Sandstone,14,0,15,0,0,1,1,1,1,0,1
14,Snow,1,1,1,1,1,1,1,1,1,0,1
15,Ice,2,1,2,1,2,1,0,1,1,0,0
16,Amethyst,3,1,3,1,3,1,1,1,1,0,1
17,Smooth_Basalt,4,1,4,1,4,1,1,1,1,0,1
18,Calcite,5,1,5,1,5,1,1,1,1,0,1
19,Andesite,6,1,6,1,6,1,1,1,1,0,1
20,Brain_Coral,7,1,7,1,7,1,1,1,1,0,0
21,Bubble_Coral,8,1,8,1,8,1,1,1,1,0,0
22,End_Stone,9,1,9,1,9,1,1,1,1,0,1
23,Moss,10,1,10,1,10,1,1,1,1,0,1
24,Mushroom_Stem,11,1,11,1,11,1,1,1,1,0,0
25,Brown_Mushroom,12,1,12,1,12,1,1,1,1,0,0
26,Mycelium,13,1,14,1,1,0,1,1,1,0,1
27,Red_Mushroom,15,1,15,1,15,1,1,1,1,0,0
28,Spruce_Planks,0,2,0,2,0,2,1,1,1,0,0
29,Spruce_Log,1,2,2,2,2,2,1,1,1,0,0
30,Spruce_Leaves,3,2,3,2,3,2,0,1,1,0,0
31,Jungle_Planks,4,2,4,2,4,2,1,1,1,0,0
32,Jungle_Log,5,2,6,2,6,2,1,1,1,0,0
33,Jungle_Leaves,7,2,7,2,7,2,0,1,1,0,0
34,Red_Sand,8,2,8,2,8,2,1,1,1,0,1
35,Red_Sandstone,9,2,10,2,11,2,1,1,1,0,1
36,Terracotta,12,2,12,2,12,2,1,1,1,0,1
37,Black_Terracotta,13,2,13,2,13,2,1,1,1,0,1
38,Blue_Terracotta,14,2,14,2,14,2,1,1,1,0,1
39,Brown_Terracotta,15,2,15,2,15,2,1,1,1,0,1
40,Cyan_Terracotta,0,3,0,3,0,3,1,1,1,0,1
41,Gray_Terracotta,1,3,1,3,1,3,1,1,1,0,1
42,Green_Terracotta,2,3,2,3,2,3,1,1,1,0,1
43,LightBlue_Terracotta,3,3,3,3,3,3,1,1,1,0,1
44,LightGray_Terracotta,4,3,4,3,4,3,1,1,1,0,1
45,Lime_Terracotta,5,3,5,3,5,3,1,1,1,0,1
46,Magenta_Terracotta,6,3,6,3,6,3,1,1,1,0,1
47,Orange_Terracotta,7,3,7,3,7,3,1,1,1,0,1
48,Pink_Terracotta,8,3,8,3,8,3,1,1,1,0,1
49,Purple_Terracotta,9,3,9,3,9,3,1,1,1,0,1
50,Red_Terracotta,10,3,10,3,10,3,1,1,1,0,1
51,White_Terracotta,11,3,11,3,11,3,1,1,1,0,1
52,Yellow_Terracotta,12,3,12,3,12,3,1,1,1,0,1
53,Mangrove_Planks,13,3,13,3,13,3,1,1,1,0,0
54,Mangrove_Log,14,3,15,3,15,3,1,1,1,0,0
55,Mangrove_Leaves,0,4,0,4,0,4,0,1,1,0,0
56,Mud,1,4,1,4,1,4,1,1,1,0,1
57,Clay,2,4,2,4,2,4,1,1,1,0,1
58,Gold_Ore,3,4,3,4,3,4,1,1,1,0,1
59,Gold_Block,4,4,4,4,4,4,1,1,1,0,0
60,Diamond_Ore,5,4,5,4,5,4,1,1,1,0,1
61,Diamond_Block,6,4,6,4,6,4,1,1,1,0,0
62,Copper_Ore,7,4,7,4,7,4,1,1,1,0,1
63,Copper_Block,8,4,8,4,8,4,1,1,1,0,0
64,Coal_Ore,9,4,9,4,9,4,1,1,1,0,1
65,Emerald_Ore,10,4,10,4,10,4,1,1,1,0,1
66,Emerald_Block,11,4,11,4,11,4,1,1,1,0,0
67,Magma,12,4,12,4,12,4,1,1,1,8,1
68,Obsidian,13,4,13,4,13,4,1,1,1,0,1
69,Blackstone,14,4,14,4,14,4,1,1,1,0,1
70,Gilded_Blackstone,15,4,15,4,15,4,1,1,1,0,1
71,Podzol,0,5,1,5,1,0,1,1,1,0,1
